naslov,autor,ilustrator
The One,Kiera Cass,
The Jungle,Kathleen DeGrave,
Carrie,Stephen King,
"I, Claudius",Robert Graves,
Snow Falling on Cedars,David Guterson,
Heir of Fire,Sarah J. Maas,
Voyager,Diana Gabaldon,
Me Talk Pretty One Day,David Sedaris,
Chosen,Kristin Cast,
A Room with a View,E.M. Forster,
Bleak House,Hablot Knight Browne,
The Republic,Benjamin Jowett,
The Last Battle,C.S. Lewis,
The Exorcist,William Peter Blatty,
Coraline,Dave McKean,
The Elephant Tree,R.D. Ronald,
Worm Holes,Kyle Keyes,
Demian: Die Geschichte von Emil Sinclairs Jugend,Thomas Mann,
Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Sáenz,
The 5th Wave,Rick Yancey,
The Iron King,Julie Kagawa,
Bloodlines,Richelle Mead,
