naslov,izdano,dolzina,jezik
The Thirteenth Tale,September 12th 2006,406,English
ノルウェイの森 [Noruwei no Mori],September 12th 2000,296,English
The Things They Carried,December 29th 1998,246,English
The Cider House Rules,July 1st 2000,973,English
The Time Machine ,October 1st 2002,118,English
Different Seasons,February 16th 1995,560,English
海辺のカフカ [Umibe no Kafuka],January 3rd 2006,467,English
Heidi,November 15th 2002,352,English
"Are You There God? It's Me, Margaret",September 2001,149,English
City of Lost Souls,May 8th 2012,546,English
Sofies verden: roman om filosofiens historie,1995,403,English
"Walden; or, Life in the Woods",April 18th 2004,352,English
The Wise Man's Fear,March 1st 2011,994,English
زندگی مه آلود پریا,January 1st 2015,204,Persian
Fangirl,September 10th 2013,483,English
The Awakening,2006,195,English
Sophie's Choice,March 3rd 1992,562,English
The Prince of Tides,March 26th 2002,679,English
Never Let Me Go,August 31st 2010,288,English
The Son of Neptune ,October 4th 2011,513,English
Dead Until Dark,May 1st 2001,292,English
Fried Green Tomatoes at the Whistle Stop Cafe,May 7th 2002,416,English
Fifty Shades Darker,September 16th 2011,532,English
Ready Player One,August 16th 2011,374,English
A Court of Mist and Fury,May 3rd 2016,626,English
The Monster at the End of This Book,May 11th 2004,32,English
Middlemarch,2004,904,English
Things Fall Apart,October 1994,209,English
Mrs Dalloway,October 28th 2002,194,English
Bridget Jones's Diary,June 1st 1999,288,English
Mockingjay,August 24th 2010,398,English
Franny and Zooey,January 30th 2001,201,English
The Power of One,September 29th 1996,544,English
The Magician’s Nephew,May 4th 2005,221,English
Stardust: Being a Romance within the Realms of Faerie,August 29th 2006,248,English
A Time to Kill,March 15th 2004,515,English
The Gunslinger,July 2003,231,English
Number the Stars,February 9th 1998,137,English
Do Androids Dream of Electric Sheep?,February 26th 2008,258,English
Allegiant,October 22nd 2013,526,English
The Lord of the Rings,October 12th 2005,1216,English
The Mark of Athena,October 2nd 2012,586,English
A Short History of Nearly Everything,September 14th 2004,544,English
Eleanor &amp; Park,February 26th 2013,328,English
Me Before You,July 30th 2013,369,English
The Way of Kings,August 31st 2010,1007,English
The Art of Racing in the Rain,May 13th 2008,321,English
Legend,November 29th 2011,305,English
If I Stay,April 2nd 2009,201,English
Black Beauty,March 1st 2003,245,English
A Portrait of the Artist as a Young Man,March 25th 2003,329,English
The Hound of the Baskervilles ,July 1st 2001,256,English
Travels into Several Remote Nations of the World,January 30th 2003,306,English
Bel Canto,August 2nd 2005,318,English
American Psycho,March 1991,399,English
Love You Forever,September 1st 1995,32,English
The Graveyard Book,September 30th 2008,307,English
V for Vendetta,November 1st 2005,296,English
The Witches,1997,208,English
القرآن الكريم,650,604,Arabic
Fifty Shades Freed,April 17th 2012,579,English
Cold Mountain,September 1st 2006,356,English
White Fang,January 1st 2001,252,English
Wonder,February 14th 2012,315,English
Beowulf,February 17th 2001,245,English
The Final Empire,July 25th 2006,544,English
Beautiful Creatures,December 1st 2009,563,English
Tuck Everlasting,November 1st 1985,148,English
Der Steppenwolf,1999,256,English
Dark Lover,September 6th 2005,393,English
Go Ask Alice,January 1st 2006,213,English
Eldest,March 13th 2007,704,English
أنتحار فاشل,2016,175,Arabic
The Tell-Tale Heart,September 28th 2004,448,English
The Eye of the World,November 15th 1990,814,English
As I Lay Dying,January 30th 1991,288,English
A Separate Peace,September 30th 2003,208,English
Maus. A Survivor's Tale,October 2nd 2003,296,English
Mansfield Park,2003,488,English
The Amazing Adventures of Kavalier &amp; Clay,August 25th 2001,639,English
Brisingr,September 20th 2008,748,English
العصبى,2016,165,Arabic
A Child Called 'It': One Child's Courage to Survive,September 1st 1995,184,English
Stargirl,September 2002,186,English
道德經 [dào dé jīng],August 28th 1989,160,English
East of Eden,2002,601,English
Obsidian,May 8th 2012,335,English
Midnight's Children,May 1st 1995,647,English
The Martian Chronicles,June 1st 1984,182,English
Dear John,October 30th 2006,276,English
'Salem's Lot,1991,483,English
Crescendo,October 19th 2010,432,English
Cloud Atlas,August 17th 2004,509,English
The English Patient,April 18th 2006,320,English
